rule_id,base_score,tier,reasoning
kingfisher.assemblyai.1,50,medium,"Transcription service API key; per-call billing with quotas but not catastrophic on leak."
kingfisher.clarifai.1,50,medium,"Computer vision API key; per-call billing model; abuse leads to quota exhaustion and unexpected charges."
kingfisher.cursor.1,50,medium,"IDE AI assistant user-scoped integration key; grants access to AI completions and possibly code context."
kingfisher.deepgram.1,50,medium,"Transcription API key; per-call billing with quotas; abuse risks cost amplification."
kingfisher.elevenlabs.1,55,medium,"Voice synthesis API key; elevated due to deepfake audio abuse potential and per-character billing."
kingfisher.exa.1,50,medium,"AI search API key; per-query billing; abuse leads to quota exhaustion."
kingfisher.imagekit.1,50,medium,"Image CDN and transformation private API key; allows media manipulation and upload."
np.jina.1,45,medium,"Embeddings/search foundation API key; per-call billing; low blast radius on leak."
kingfisher.klingai.1,60,medium,"AI video generation secret key; top of medium range due to expensive generation operations."
kingfisher.langchain.1,50,medium,"LangSmith personal access token; grants access to LLM tracing and experiment data which may contain sensitive content."
kingfisher.langchain.2,50,medium,"LangSmith service key; similar to personal token but service-scoped."
kingfisher.pdflayer.1,40,medium,"PDF rendering API key; low-risk utility service; abuse limited to quota exhaustion."
kingfisher.retellai.api_key.1,55,medium,"Voice agent API key; elevated due to potential for fraudulent voice call campaigns using compromised key."
kingfisher.scraperapi.1,45,medium,"Web scraping service key; abuse leads to quota exhaustion and potential IP reputation impact."
np.tavily.1,50,medium,"AI search API key; per-query billing model; abuse leads to quota exhaustion."
kingfisher.voyageai.api_key,45,medium,"Embeddings API key; narrow-scope utility service; per-call billing; low blast radius."
kingfisher.wandb.1,65,high,"Weights and Biases experiment tracking key; grants read/write access to ML project data, model artifacts, training runs, and hyperparameters — exposure can leak proprietary model research."
