rule_id,base_score,tier,reasoning
kingfisher.alibabacloud.1,45,medium,"Alibaba Cloud access key ID (LTAI prefix). An identifier analogous to AWS AKIA — alone it enables reconnaissance and account enumeration against Aliyun STS but cannot authenticate without the paired secret. Medium rather than info because the LTAI prefix is an unambiguous cloud credential marker and reduces the attack surface to a known platform."
kingfisher.alibabacloud.2,88,critical,"Alibaba Cloud access key secret. When combined with the AKID (kingfisher.alibabacloud.1) grants full programmatic access to Alibaba Cloud (ECS, OSS, RAM) — a direct analog to the AWS secret access key. Rule has live HTTP validation against STS GetCallerIdentity. Financial and blast-radius impact equivalent to AWS."
np.aws.1,48,medium,"AWS access key ID (AKIA/AGPA/AIDA/AROA/ASIA prefixes). The key ID alone is an identifier — reveals account and principal type enabling targeted enumeration but cannot authenticate to AWS APIs without the paired secret. Scored medium rather than info because the structured prefix format enables confident cloud-provider attribution and narrows attack surface significantly."
np.aws.2,88,critical,"AWS secret access key. When paired with a key ID grants full programmatic access to any AWS service the IAM principal is authorized for. Can enable data exfiltration, resource creation, privilege escalation, and significant financial damage. Pattern anchors on aws_secret_access_key label increasing confidence this is a real credential rather than noise."
np.aws.3,12,info,"AWS account ID (12-digit numeric). Not a credential — cannot authenticate to any AWS service. Used in ARN construction. Discloses organizational structure useful for targeting ARN-based resources but has no direct authorization power. Info tier."
np.aws.4,80,critical,"AWS session token (temporary STS credential). Combined with a temporary key ID and secret constitutes a complete immediately usable credential set. Temporary credentials issued for assumed roles can carry admin-level permissions. Scored at the low end of critical because tokens are short-lived (hours to 12h) reducing remediation urgency."
np.aws.5,35,low,"Amazon MWS (Marketplace Web Services) auth token. The MWS service was deprecated and shut down on March 31 2024. While historically it granted seller data access the service is no longer functional. Scored low to acknowledge historical risk and presence in old codebases."
np.s3.1,22,low,"AWS S3 bucket URL (subdomain-style: bucket.s3.amazonaws.com). An identifier not a credential. Reveals bucket names enabling reconnaissance and potential access to misconfigured public buckets. Slightly above pure info because S3 bucket name exposure is a known step in data-breach attack chains."
np.s3.2,22,low,"AWS S3 bucket URL (path-style: s3.amazonaws.com/bucket). Same capability and risk as np.s3.1 — a bucket name identifier enabling reconnaissance and potential access to misconfigured public buckets. No direct authorization power."
np.arn.1,10,info,"Amazon Resource Name (ARN). Structural identifier for AWS resources. ARNs reveal account IDs, regions, service types, and resource names useful for attack targeting but are not credentials and cannot authenticate to any service. Info tier."
np.appsync.1,52,medium,"AWS AppSync API key (da2- prefix). AppSync keys authenticate GraphQL API requests. Per AWS documentation these can be used for public/unauthenticated GraphQL endpoints and are configurable up to 365 days. If used on a private endpoint with sensitive data they are high-impact; if public-facing they may be intentionally exposed. Scored medium reflecting the documented ambiguity about whether these are always secret."
np.aws.6,95,critical,"Combined AWS API credentials: key ID immediately followed by secret access key in the same code block. This is the complete credential pair needed for full programmatic AWS API access. Higher confidence than individual rules because co-location strongly indicates a real leaked credential set. Maximum blast radius — financial, data, and infrastructure impact."
np.azure.6,62,high,"Azure Notification Hub SharedAccessKey (from azure-notification-hub.yml). Grants ability to send push notifications, register devices, and potentially manage the hub depending on access policy. DefaultFullSharedAccessSignature grants management access at scale. Scored high reflecting the worst-case full-access policy and potential for notification spam and data exfiltration."
np.azure.1,85,critical,"Azure connection string containing AccountName and AccountKey or SharedAccessKey. Grants direct read/write access to Azure Storage (Blob, Queue, Table) or Service Bus resources. A complete credential pair analogous to AWS access key plus secret. Examples include IoT Hub and storage account connection strings with base64 account keys — full data access."
np.azure.2,80,critical,"Azure App Configuration connection string containing endpoint URL, client ID, and secret. Grants access to App Configuration stores which typically hold application settings, feature flags, and references to Azure Key Vault secrets. Compromise enables configuration tampering and potential secret extraction from Key Vault references."
np.azure.3,68,high,"Azure DevOps Personal Access Token (fuzzy context pattern matching variable names like personal_access_token). DevOps PATs can be scoped narrowly or broadly; access to source code, pipelines, and build artifacts enables supply chain attacks. Scored high rather than critical because scope is PAT-dependent and fuzzy matching reduces precision."
np.azure.4,72,high,"Azure DevOps Personal Access Token (new 84-character AZDO-suffix format, higher confidence). Modern PAT format with structured markers. Can grant read/write access to repositories, pipelines, work items, and artifacts enabling supply chain compromise. Higher score than np.azure.3 because the specific format reduces false positives."
np.azure.5,55,medium,"Azure API Management subscription key (32-character hex). Authenticates requests to an APIM gateway providing access to backend APIs protected by that gateway. Impact bounded by the specific API product/scope the subscription covers. Could be narrow (single API) or broad (all APIs). Scored medium reflecting typical single-product scope."
kingfisher.azure.devops.1,8,info,"Azure DevOps organization name (dev.azure.com/org-name). An organizational identifier not a credential. Reveals the DevOps URL used in downstream PAT validation. Marked visible:false in YAML. Info tier."
kingfisher.azure.devops.2,72,high,"Azure DevOps PAT (AZDO-suffix format with live HTTP validation against DevOps REST API). Identical format to np.azure.4. Grants access to source code, build pipelines, and artifacts. Live validation increases confidence this detects real tokens. High tier."
kingfisher.azureopenai.1,60,high,"Azure OpenAI API key (32-character hex, fuzzy context pattern requiring co-located host). Grants access to Azure-hosted OpenAI model deployments (GPT-4, embeddings, etc.). Enables unauthorized AI inference (cost impact) and potential access to fine-tuned models with proprietary training data. Scored at low end of high due to medium confidence and host dependency."
kingfisher.azureopenai.2,65,high,"Azure OpenAI API key (extended 80-100 char format with JQQJ/AAAB/ACOGk structural markers, high confidence). More reliable detection than kingfisher.azureopenai.1. Same capability — unauthorized OpenAI inference and cost impact — but higher precision justifies higher score within high tier."
