rule_id,base_score,tier,reasoning
kingfisher.datagov.1,15,info,"Rate-limit identifier for public government datasets; no meaningful secret power and no private data access."
np.deviantart.1,45,medium,"User-scoped OAuth access token for a niche creative platform; limited blast radius to one account."
kingfisher.deviantart.1,45,medium,"OAuth client secret enabling app-level impersonation on a niche creative platform; moderate impact."
np.facebook.1,60,medium,"Facebook app secret key enabling app-level API access and signature verification; can impersonate the application."
np.facebook.2,45,medium,"User-scoped Facebook access token; compromises one user account including profile and linked permissions."
np.facebook.3,65,high,"Facebook app credentials (ID + secret) giving full control over the app; can manage users, webhooks, and app settings."
kingfisher.flickr.1,30,low,"Read-only API key for a photo-sharing platform; primarily accesses public content with rate-limit enforcement."
kingfisher.flickr.2,30,low,"User OAuth session token for Flickr; compromises one account on a niche platform with mostly public content."
kingfisher.foursquare.1,20,low,"Public client identifier; not a secret and provides no privileged access on its own."
kingfisher.foursquare.2,45,medium,"OAuth client secret for Foursquare location platform; enables app impersonation and user data access."
kingfisher.guardian.1,25,low,"API key for The Guardian public news content; read-only access to published articles with quota enforcement."
np.instagram.1,45,medium,"Instagram Graph API access token; user-scoped access to profile, media, and messaging for one account."
np.linkedin.1,20,low,"Public LinkedIn OAuth client identifier; not a secret and provides no privileged access on its own."
np.linkedin.2,40,low,"LinkedIn OAuth client secret; app-level but LinkedIn scope is user-profile-focused with limited downstream impact."
np.linkedin.3,35,low,"User-scoped LinkedIn access token; read/write on one professional profile with limited blast radius."
np.nasa.1,25,low,"NASA public data API key; rate-limit key for open scientific datasets with no private data access."
kingfisher.nytimes.1,25,low,"NYT public news content API key; read-only access to published articles with quota enforcement."
np.twitch.1,50,medium,"Twitch stream key grants ability to broadcast live video as the streamer; high reputational impact for that account."
np.twitter.1,20,low,"Public Twitter/X OAuth client identifier; not a secret and provides no privileged API access on its own."
np.twitter.2,60,medium,"Twitter/X app-level OAuth secret key; enables full app impersonation and broad API access."
np.twitter.3,55,medium,"Twitter/X app-level bearer token; enables read access to Twitter API at application scope."
np.twitter.4,50,medium,"User-scoped Twitter/X access token; can post, read DMs, and act as the authenticated user account."
kingfisher.yelp.1,30,low,"Yelp Fusion API key for public business data; read-only access to restaurant and business listings with rate limits."
np.youtube.1,30,low,"YouTube Data API key; mostly read-only quota key for public video data with no OAuth user delegation."
